id,name_uk,name_ru,name_en,category,kcal,protein_g,fat_g,carbs_g,fiber_g,iron_mg,calcium_mg,magnesium_mg,potassium_mg,zinc_mg,vitamin_a_mcg,vitamin_b1_mg,vitamin_b2_mg,vitamin_b6_mg,vitamin_b12_mcg,vitamin_c_mg,vitamin_d_mcg,vitamin_e_mg,vitamin_k_mcg,omega3_g,raw_weight,boiled_weight,boiled_kcal,boiled_protein,boiled_fat,boiled_vitamins_loss,fried_weight,fried_kcal,fried_protein,fried_fat,fried_vitamins_loss,baked_weight,baked_kcal,baked_protein,baked_fat,baked_vitamins_loss,stewed_weight,stewed_kcal,stewed_protein,stewed_fat,stewed_vitamins_loss,steamed_weight,steamed_kcal,steamed_protein,steamed_fat,steamed_vitamins_loss,grilled_weight,grilled_kcal,grilled_protein,grilled_fat,grilled_vitamins_loss
59,Апельсин,Апельсин,Orange,Фрукти/Ягоди,47,0.9,0.1,11.8,2.4,0.1,40,10,181,0.1,11,0.09,0.04,0.06,0.00,53.2,0.0,0.2,0.0,0.01,1.0,1.0,1.0,1.0,1.0,0.05,0.95,1.0,1.0,1.0,0.12,0.98,1.0,1.0,1.0,0.08,0.98,1.0,1.0,1.0,0.10,1.0,1.0,1.0,1.0,0.05,0.95,1.0,1.0,1.0,0.12
60,Грейпфрут,Грейпфрут,Grapefruit,Фрукти/Ягоди,42,0.8,0.1,10.7,1.6,0.1,22,9,135,0.1,58,0.04,0.03,0.05,0.00,31.2,0.0,0.1,0.0,0.01,1.0,1.0,1.0,1.0,1.0,0.05,0.95,1.0,1.0,1.0,0.12,0.98,1.0,1.0,1.0,0.08,0.98,1.0,1.0,1.0,0.10,1.0,1.0,1.0,1.0,0.05,0.95,1.0,1.0,1.0,0.12
61,Лимон,Лимон,Lemon,Фрукти/Ягоди,29,1.1,0.3,9.3,2.8,0.6,26,8,138,0.1,1,0.04,0.02,0.08,0.00,53.0,0.0,0.2,0.0,0.01,1.0,1.0,1.0,1.0,1.0,0.05,0.98,1.0,1.0,1.0,0.10,0.98,1.0,1.0,1.0,0.08,0.98,1.0,1.0,1.0,0.10,1.0,1.0,1.0,1.0,0.05,0.98,1.0,1.0,1.0,0.10
62,Ківі,Киви,Kiwi,Фрукти/Ягоди,61,1.1,0.5,14.7,3.0,0.3,34,17,312,0.1,4,0.03,0.03,0.06,0.00,92.7,0.0,1.5,40.3,0.04,1.0,1.0,1.0,1.0,1.0,0.08,0.95,1.0,1.0,1.0,0.15,0.98,1.0,1.0,1.0,0.10,0.98,1.0,1.0,1.0,0.12,1.0,1.0,1.0,1.0,0.08,0.95,1.0,1.0,1.0,0.15
63,Манго,Манго,Mango,Фрукти/Ягоди,60,0.8,0.4,15.0,1.6,0.2,11,10,168,0.0,54,0.03,0.04,0.12,0.00,36.4,0.0,0.9,4.2,0.05,1.0,1.0,1.0,1.0,1.0,0.10,0.95,1.0,1.0,1.0,0.18,0.98,1.0,1.0,1.0,0.12,0.98,1.0,1.0,1.0,0.15,1.0,1.0,1.0,1.0,0.10,0.95,1.0,1.0,1.0,0.18
64,Ананас,Ананас,Pineapple,Фрукти/Ягоди,50,0.5,0.1,13.1,1.4,0.3,13,12,109,0.1,3,0.08,0.03,0.11,0.00,47.8,0.0,0.0,0.7,0.01,1.0,1.0,1.0,1.0,1.0,0.10,0.92,1.05,1.0,1.08,0.20,0.95,1.03,1.0,1.05,0.12,0.95,1.03,1.0,1.05,0.15,1.0,1.0,1.0,1.0,0.10,0.92,1.05,1.0,1.08,0.20
65,Груша,Груша,Pear,Фрукти/Ягоди,57,0.4,0.1,15.2,3.1,0.2,9,7,116,0.1,1,0.01,0.03,0.03,0.00,4.3,0.0,0.1,4.4,0.00,1.0,0.98,1.0,1.0,1.0,0.08,0.90,1.08,1.0,1.12,0.18,0.93,1.05,1.0,1.08,0.12,0.95,1.03,1.0,1.05,0.15,0.98,1.0,1.0,1.0,0.08,0.92,1.06,1.0,1.1,0.15
66,Слива,Слива,Plum,Фрукти/Ягоди,46,0.7,0.3,11.4,1.4,0.2,6,7,157,0.1,17,0.03,0.03,0.03,0.00,9.5,0.0,0.3,6.4,0.00,1.0,0.98,1.0,1.0,1.0,0.10,0.88,1.08,1.0,1.15,0.20,0.92,1.05,1.0,1.08,0.15,0.93,1.03,1.0,1.05,0.18,0.98,1.0,1.0,1.0,0.10,0.90,1.08,1.0,1.12,0.18
67,Персик,Персик,Peach,Фрукти/Ягоди,39,0.9,0.3,9.5,1.5,0.3,6,9,190,0.2,16,0.02,0.03,0.03,0.00,6.6,0.0,0.7,2.6,0.00,1.0,0.95,1.0,1.0,1.0,0.10,0.85,1.1,1.0,1.2,0.22,0.90,1.08,1.0,1.1,0.15,0.92,1.05,1.0,1.08,0.18,0.95,1.0,1.0,1.0,0.10,0.88,1.08,1.0,1.15,0.20
68,Абрикос,Абрикос,Apricot,Фрукти/Ягоди,48,1.4,0.4,11.1,2.0,0.4,13,10,259,0.2,96,0.03,0.04,0.05,0.00,10.0,0.0,0.9,3.3,0.00,1.0,0.95,1.0,1.0,1.0,0.12,0.85,1.12,1.0,1.25,0.25,0.90,1.08,1.0,1.12,0.18,0.92,1.05,1.0,1.08,0.20,0.95,1.0,1.0,1.0,0.12,0.88,1.1,1.0,1.2,0.22
69,Виноград,Виноград,Grapes,Фрукти/Ягоди,69,0.7,0.2,18.1,0.9,0.4,10,7,191,0.1,3,0.07,0.07,0.09,0.00,3.2,0.0,0.2,14.6,0.01,1.0,1.0,1.0,1.0,1.0,0.05,0.95,1.0,1.0,1.0,0.12,0.98,1.0,1.0,1.0,0.08,0.98,1.0,1.0,1.0,0.10,1.0,1.0,1.0,1.0,0.05,0.95,1.0,1.0,1.0,0.12
70,Полуниця,Клубника,Strawberry,Фрукти/Ягоди,32,0.7,0.3,7.7,2.0,0.4,16,13,153,0.1,1,0.02,0.02,0.05,0.00,58.8,0.0,0.3,2.2,0.07,1.0,1.0,1.0,1.0,1.0,0.08,0.95,1.0,1.0,1.0,0.15,0.98,1.0,1.0,1.0,0.10,0.98,1.0,1.0,1.0,0.12,1.0,1.0,1.0,1.0,0.08,0.95,1.0,1.0,1.0,0.15
71,Малина,Малина,Raspberry,Фрукти/Ягоди,52,1.2,0.7,11.9,6.5,0.7,25,22,151,0.4,2,0.03,0.04,0.06,0.00,26.2,0.0,0.9,7.8,0.13,1.0,1.0,1.0,1.0,1.0,0.10,0.95,1.0,1.0,1.0,0.18,0.98,1.0,1.0,1.0,0.12,0.98,1.0,1.0,1.0,0.15,1.0,1.0,1.0,1.0,0.10,0.95,1.0,1.0,1.0,0.18
72,Чорниця,Черника,Blueberry,Фрукти/Ягоди,57,0.7,0.3,14.5,2.4,0.3,6,6,77,0.2,3,0.04,0.04,0.05,0.00,9.7,0.0,0.6,19.3,0.06,1.0,1.0,1.0,1.0,1.0,0.10,0.95,1.0,1.0,1.0,0.18,0.98,1.0,1.0,1.0,0.12,0.98,1.0,1.0,1.0,0.15,1.0,1.0,1.0,1.0,0.10,0.95,1.0,1.0,1.0,0.18
73,Журавлина,Клюква,Cranberry,Фрукти/Ягоди,46,0.4,0.1,12.2,4.6,0.2,8,6,85,0.1,3,0.01,0.02,0.06,0.00,13.3,0.0,1.2,5.1,0.04,1.0,1.0,1.0,1.0,1.0,0.10,0.95,1.0,1.0,1.0,0.18,0.98,1.0,1.0,1.0,0.12,0.98,1.0,1.0,1.0,0.15,1.0,1.0,1.0,1.0,0.10,0.95,1.0,1.0,1.0,0.18
74,Смородина чорна,Смородина черная,Black currant,Фрукти/Ягоди,63,1.4,0.4,15.4,4.8,1.5,55,24,322,0.3,12,0.05,0.05,0.07,0.00,181.0,0.0,1.0,0.0,0.07,1.0,1.0,1.0,1.0,1.0,0.12,0.95,1.0,1.0,1.0,0.22,0.98,1.0,1.0,1.0,0.15,0.98,1.0,1.0,1.0,0.18,1.0,1.0,1.0,1.0,0.12,0.95,1.0,1.0,1.0,0.22
75,Арахіс,Арахис,Peanuts,Горіхи/Насіння,567,25.8,49.2,16.1,8.5,4.6,92,168,705,3.3,0,0.64,0.14,0.35,0.00,0.0,0.0,8.3,0.0,0.00,1.0,0.98,1.0,1.0,1.0,0.08,0.90,1.1,1.0,1.2,0.18,0.95,1.05,1.0,1.08,0.12,0.95,1.05,1.0,1.08,0.15,0.98,1.0,1.0,1.0,0.08,0.92,1.08,1.0,1.15,0.15
76,Мигдаль,Миндаль,Almonds,Горіхи/Насіння,579,21.2,49.9,21.6,12.5,3.7,269,270,733,3.1,0,0.21,1.14,0.14,0.00,0.0,0.0,25.6,0.0,0.00,1.0,0.98,1.0,1.0,1.0,0.10,0.92,1.08,1.0,1.15,0.20,0.96,1.04,1.0,1.06,0.12,0.96,1.04,1.0,1.06,0.15,0.98,1.0,1.0,1.0,0.10,0.94,1.06,1.0,1.12,0.18
77,Волоський горіх,Грецкий орех,Walnuts,Горіхи/Насіння,654,15.2,65.2,13.7,6.7,2.9,98,158,441,3.1,1,0.34,0.15,0.54,0.00,1.3,0.0,0.7,2.7,9.08,1.0,0.98,1.0,1.0,1.0,0.12,0.92,1.08,1.0,1.15,0.22,0.96,1.04,1.0,1.06,0.15,0.96,1.04,1.0,1.06,0.18,0.98,1.0,1.0,1.0,0.12,0.94,1.06,1.0,1.12,0.20
78,Кеш'ю,Кешью,Cashews,Горіхи/Насіння,553,18.2,43.8,30.2,3.3,6.7,37,292,660,5.8,0,0.42,0.06,0.42,0.00,0.5,0.0,0.9,34.1,0.06,1.0,0.98,1.0,1.0,1.0,0.10,0.92,1.08,1.0,1.15,0.20,0.96,1.04,1.0,1.06,0.12,0.96,1.04,1.0,1.06,0.15,0.98,1.0,1.0,1.0,0.10,0.94,1.06,1.0,1.12,0.18
79,Фундук,Фундук,Hazelnuts,Горіхи/Насіння,628,15.0,60.8,16.7,9.7,4.7,114,163,680,2.5,1,0.64,0.11,0.56,0.00,6.3,0.0,15.0,14.2,0.09,1.0,0.98,1.0,1.0,1.0,0.12,0.92,1.08,1.0,1.15,0.22,0.96,1.04,1.0,1.06,0.15,0.96,1.04,1.0,1.06,0.18,0.98,1.0,1.0,1.0,0.12,0.94,1.06,1.0,1.12,0.20
80,Насіння льону,Семена льна,Flax seeds,Горіхи/Насіння,534,18.3,42.2,28.9,27.3,5.7,255,392,813,4.3,0,1.64,0.16,0.47,0.00,0.6,0.0,0.3,4.3,22.81,1.0,1.0,1.0,1.0,1.0,0.05,0.98,1.02,1.0,1.05,0.10,0.98,1.02,1.0,1.03,0.08,0.98,1.02,1.0,1.03,0.08,1.0,1.0,1.0,1.0,0.05,0.98,1.02,1.0,1.05,0.10
81,Насіння чіа,Семена чиа,Chia seeds,Горіхи/Насіння,486,16.5,30.7,42.1,34.4,7.7,631,335,407,4.6,0,0.62,0.17,0.00,0.00,1.6,0.0,0.5,0.0,17.83,1.0,1.0,1.0,1.0,1.0,0.05,0.98,1.02,1.0,1.05,0.10,0.98,1.02,1.0,1.03,0.08,0.98,1.02,1.0,1.03,0.08,1.0,1.0,1.0,1.0,0.05,0.98,1.02,1.0,1.05,0.10
82,Насіння гарбуза,Семена тыквы,Pumpkin seeds,Горіхи/Насіння,559,30.2,49.1,10.7,6.0,8.8,46,592,809,7.8,1,0.27,0.15,0.14,0.00,1.9,0.0,2.2,51.4,0.12,1.0,0.98,1.0,1.0,1.0,0.08,0.92,1.08,1.0,1.15,0.18,0.96,1.04,1.0,1.06,0.12,0.96,1.04,1.0,1.06,0.15,0.98,1.0,1.0,1.0,0.08,0.94,1.06,1.0,1.12,0.15
83,Насіння соняшника,Семена подсолнечника,Sunflower seeds,Горіхи/Насіння,584,20.8,51.5,20.0,8.6,5.2,78,325,645,5.0,1,1.48,0.36,1.35,0.00,1.4,0.0,35.2,0.0,0.07,1.0,0.98,1.0,1.0,1.0,0.08,0.92,1.08,1.0,1.15,0.18,0.96,1.04,1.0,1.06,0.12,0.96,1.04,1.0,1.06,0.15,0.98,1.0,1.0,1.0,0.08,0.94,1.06,1.0,1.12,0.15
84,Мак,Мак,Poppy seeds,Горіхи/Насіння,525,17.9,41.6,28.1,19.5,9.8,1438,347,719,7.9,0,0.85,0.10,0.25,0.00,1.0,0.0,1.8,0.9,0.27,1.0,1.0,1.0,1.0,1.0,0.05,0.98,1.02,1.0,1.05,0.10,0.98,1.02,1.0,1.03,0.08,0.98,1.02,1.0,1.03,0.08,1.0,1.0,1.0,1.0,0.05,0.98,1.02,1.0,1.05,0.10
85,Оливкова олія Extra Virgin,Оливковое масло Extra Virgin,Olive oil extra virgin,Масла/Жири,884,0.0,100.0,0.0,0.0,0.6,1,0,1,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,14.4,60.2,0.76,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
86,Соняшникова олія,Подсолнечное масло,Sunflower oil,Масла/Жири,884,0.0,100.0,0.0,0.0,0.0,0,0,0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,41.1,5.4,0.20,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
87,Лляна олія,Льняное масло,Flaxseed oil,Масла/Жири,884,0.0,100.0,0.0,0.0,0.0,0,0,0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,17.5,9.3,53.37,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
88,Кокосова олія,Кокосовое масло,Coconut oil,Масла/Жири,862,0.0,100.0,0.0,0.0,0.0,0,0,0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.6,0.00,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
89,Мед,Мед,Honey,Інші,304,0.3,0.0,82.4,0.2,0.4,6,2,52,0.2,0,0.00,0.04,0.02,0.00,0.5,0.0,0.0,0.0,0.00,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
90,Темний шоколад 70%,Темный шоколад 70%,Dark chocolate 70%,Інші,598,7.8,42.6,45.8,10.9,11.9,73,228,715,3.3,2,0.03,0.07,0.04,0.00,0.0,0.0,0.6,7.3,0.04,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
91,Какао порошок,Какао порошок,Cocoa powder,Інші,228,19.6,13.7,57.9,33.2,13.9,128,499,1524,6.8,0,0.08,0.24,0.12,0.00,0.0,0.0,0.3,2.5,0.00,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
92,Хліб житній,Хлеб ржаной,Rye bread,Інші,259,8.5,3.3,48.3,5.8,2.8,73,40,166,1.1,0,0.43,0.34,0.29,0.00,0.0,0.0,0.3,1.0,0.07,1.0,1.0,1.0,1.0,1.0,0.0,0.98,1.02,1.0,1.05,0.05,0.98,1.02,1.0,1.03,0.05,0.98,1.02,1.0,1.03,0.05,1.0,1.0,1.0,1.0,0.0,0.98,1.02,1.0,1.05,0.05
93,Хліб цільнозерновий,Хлеб цельнозерновой,Whole wheat bread,Інші,247,13.4,3.4,41.3,6.8,3.6,107,137,248,2.7,0,0.49,0.22,0.23,0.00,0.0,0.0,0.5,3.2,0.13,1.0,1.0,1.0,1.0,1.0,0.0,0.98,1.02,1.0,1.05,0.05,0.98,1.02,1.0,1.03,0.05,0.98,1.02,1.0,1.03,0.05,1.0,1.0,1.0,1.0,0.0,0.98,1.02,1.0,1.05,0.05
94,Хрін,Хрен,Horseradish,Інші,48,1.2,0.7,11.3,3.3,1.4,56,27,246,0.8,0,0.01,0.02,0.07,0.00,24.9,0.0,0.0,1.3,0.06,1.0,1.0,1.0,1.0,1.0,0.05,0.98,1.0,1.0,1.0,0.10,0.98,1.0,1.0,1.0,0.08,0.98,1.0,1.0,1.0,0.08,1.0,1.0,1.0,1.0,0.05,0.98,1.0,1.0,1.0,0.10
95,Гірчиця,Горчица,Mustard,Інші,66,3.7,4.0,5.3,3.2,1.1,266,37,138,0.6,2,0.19,0.26,0.10,0.00,7.1,0.0,5.1,5.4,0.59,1.0,1.0,1.0,1.0,1.0,0.05,0.98,1.0,1.0,1.0,0.10,0.98,1.0,1.0,1.0,0.08,0.98,1.0,1.0,1.0,0.08,1.0,1.0,1.0,1.0,0.05,0.98,1.0,1.0,1.0,0.10
96,Печериці печериці,Шампиньоны,Mushrooms (white),Інші,22,3.1,0.3,3.3,1.0,0.5,3,9,318,0.5,0,0.08,0.40,0.10,0.04,2.1,0.2,0.0,0.0,0.00,1.0,0.92,1.0,1.0,1.0,0.10,0.78,1.15,1.0,1.3,0.22,0.85,1.1,1.0,1.15,0.15,0.88,1.08,1.0,1.1,0.18,0.90,1.0,1.0,1.0,0.10,0.80,1.12,1.0,1.2,0.20
97,Печериці шиїтаке,Грибы шиитаке,Shiitake mushrooms,Інші,34,2.2,0.5,6.8,2.5,0.4,2,20,304,1.0,0,0.02,0.22,0.29,0.00,0.0,0.4,0.0,0.0,0.00,1.0,0.90,1.0,1.0,1.0,0.12,0.75,1.2,1.0,1.4,0.25,0.82,1.15,1.0,1.2,0.18,0.85,1.1,1.0,1.15,0.20,0.88,1.0,1.0,1.0,0.12,0.78,1.15,1.0,1.3,0.22
98,Імбир,Имбирь,Ginger,Інші,80,1.8,0.8,17.8,2.0,0.6,16,43,415,0.3,0,0.03,0.03,0.16,0.00,5.0,0.0,0.3,0.1,0.03,1.0,0.95,1.0,1.0,1.0,0.15,0.85,1.1,1.0,1.2,0.28,0.90,1.08,1.0,1.1,0.20,0.92,1.05,1.0,1.08,0.22,0.95,1.0,1.0,1.0,0.15,0.88,1.1,1.0,1.15,0.25
99,Куркума,Куркума,Turmeric,Інші,354,7.8,9.9,64.9,21.1,41.4,183,193,2525,4.4,0,0.15,0.23,1.80,0.00,25.9,0.0,3.1,13.4,0.00,1.0,1.0,1.0,1.0,1.0,0.08,0.98,1.0,1.0,1.0,0.15,0.98,1.0,1.0,1.0,0.10,0.98,1.0,1.0,1.0,0.12,1.0,1.0,1.0,1.0,0.08,0.98,1.0,1.0,1.0,0.15
100,Кориця,Корица,Cinnamon,Інші,247,4.0,1.2,80.6,53.1,8.3,1002,60,431,1.8,15,0.02,0.04,0.16,0.00,3.8,0.0,2.3,31.2,0.01,1.0,1.0,1.0,1.0,1.0,0.08,0.98,1.0,1.0,1.0,0.15,0.98,1.0,1.0,1.0,0.10,0.98,1.0,1.0,1.0,0.12,1.0,1.0,1.0,1.0,0.08,0.98,1.0,1.0,1.0,0.15
